system:index,date,.geo
0,2001-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,2001-01-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,2001-02-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,2001-02-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,2001-03-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,2001-03-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,2001-04-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,2001-04-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,2001-05-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,2001-05-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,2001-06-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,2001-06-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,2001-07-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,2001-07-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,2001-08-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,2001-08-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,2001-09-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,2001-09-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,2001-10-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,2001-11-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,2001-11-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,2001-12-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,2001-12-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,2002-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,2002-01-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,2002-02-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,2002-02-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,2002-03-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,2002-03-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,2002-04-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,2002-04-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,2002-05-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,2002-05-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,2002-06-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,2002-06-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,2002-07-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,2002-07-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,2002-08-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,2002-08-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,2002-09-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,2002-09-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,2002-10-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,2002-11-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,2002-11-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,2002-12-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,2002-12-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,2003-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,2003-01-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,2003-02-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
49,2003-02-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,2003-03-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
51,2003-03-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
52,2003-04-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
53,2003-04-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
54,2003-05-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
55,2003-05-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
56,2003-06-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
57,2003-06-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
58,2003-07-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
59,2003-07-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
60,2003-08-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
61,2003-08-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
62,2003-09-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
63,2003-09-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
64,2003-10-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
65,2003-11-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
66,2003-11-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
67,2003-12-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
68,2003-12-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
69,2004-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
70,2004-01-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
71,2004-02-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
72,2004-02-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
73,2004-03-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
74,2004-03-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
75,2004-04-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
76,2004-04-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
77,2004-05-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
78,2004-05-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
79,2004-06-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
80,2004-06-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
81,2004-07-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
82,2004-07-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
83,2004-08-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
84,2004-08-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
85,2004-09-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
86,2004-09-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
87,2004-10-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
88,2004-10-31,"{""type"":""MultiPoint"",""coordinates"":[]}"
89,2004-11-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
90,2004-12-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
91,2004-12-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
92,2005-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
93,2005-01-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
94,2005-02-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
95,2005-02-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
96,2005-03-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
97,2005-03-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
98,2005-04-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
99,2005-04-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
100,2005-05-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
101,2005-05-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
102,2005-06-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
103,2005-06-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
104,2005-07-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
105,2005-07-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
106,2005-08-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
107,2005-08-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
108,2005-09-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
109,2005-09-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
110,2005-10-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
111,2005-11-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
112,2005-11-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
113,2005-12-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
114,2005-12-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
115,2006-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
116,2006-01-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
117,2006-02-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
118,2006-02-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
119,2006-03-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
120,2006-03-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
121,2006-04-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
122,2006-04-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
123,2006-05-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
124,2006-05-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
125,2006-06-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
126,2006-06-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
127,2006-07-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
128,2006-07-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
129,2006-08-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
130,2006-08-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
131,2006-09-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
132,2006-09-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
133,2006-10-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
134,2006-11-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
