name,plot,geometry
p1sw,CP_1,"c(18.3744263878333, -34.2073100808333)"
p8sw,CP_8,"c(18.3842624126667, -34.2235069593333)"
p9sw,CP_9,"c(18.3942185641667, -34.2235664986667)"
p12sw,CP_12,"c(18.3934325563333, -34.231832327)"
p14sw,CP_14,"c(18.4136176513333, -34.2321171296667)"
p15sw,CP_15,"c(18.3840404563333, -34.2398727443333)"
p16sw,CP_16,"c(18.393506271, -34.2402394221667)"
p17sw,CP_17,"c(18.40362031, -34.2400773266667)"
p18sw,CP_18,"c(18.413234376, -34.2399264115)"
p21sw,CP_21,"c(18.4030232246667, -34.2482252133333)"
p22sw,CP_22,"c(18.4118278675, -34.2483595365)"
p27sw,CP_27,"c(18.4036103831667, -34.2566490245)"
p28sw,CP_28,"c(18.414228254, -34.2572102441667)"
p29sw,CP_29,"c(18.4257878641667, -34.2569806071667)"
p31sw,CP_31,"c(18.4431853723333, -34.2559592645)"
p34sw,CP_34,"c(18.3933373753333, -34.2656196175)"
p37sw,CP_37,"c(18.4230219056667, -34.2650496433333)"
p38,CP_38,"c(18.4339204681667, -34.2663996088333)"
p39sw,CP_39,"c(18.4438777643333, -34.2649954383334)"
p40sw,CP_40,"c(18.4536367581667, -34.26494944)"
p44sw,CP_44,"c(18.3922431146667, -34.2692101185)"
p45sw,CP_45,"c(18.4036579923333, -34.273142193)"
p47sw,CP_47,"c(18.4232075383333, -34.2730635716667)"
p48sw,CP_48,"c(18.433024315, -34.2730206933333)"
p49sw,CP_49,"c(18.4429056135, -34.2733046308333)"
p50sw,CP_50,"c(18.4532159441667, -34.2732788133333)"
p55sw,CP_55,"c(18.4236131081667, -34.2814906321667)"
p56sw,CP_56,"c(18.4330716515, -34.2816015093333)"
p57sw,CP_57,"c(18.4429911233333, -34.2822270515)"
p58sw,CP_58,"c(18.4532213531667, -34.2813759086667)"
p59sw,CP_59,"c(18.4629916056667, -34.280961449)"
p61sw,CP_61,"c(18.4041165086667, -34.288528286)"
p62sw,CP_62,"c(18.4139310266667, -34.2897337266667)"
p63sw,CP_63,"c(18.4231994151667, -34.2897717781667)"
p64sw,CP_64,"c(18.4333180991667, -34.2897470966667)"
p65sw,CP_65,"c(18.443306949, -34.2893959336667)"
p66sw,CP_66,"c(18.4529656321667, -34.2897447415)"
p67sw,CP_67,"c(18.463000169, -34.2898224293333)"
p70sw,CP_70,"c(18.4231157476667, -34.297935946)"
p71sw,CP_71,"c(18.4332774936667, -34.297848516)"
p72sw,CP_72,"c(18.4443728808333, -34.2966773258333)"
p73sw,CP_73,"c(18.4526543223333, -34.2984554471667)"
p75sw,CP_75,"c(18.4127683266667, -34.3057102503333)"
p76sw,CP_76,"c(18.4224287305, -34.3060507115)"
p78sw,CP_78,"c(18.4429724631667, -34.3060048353333)"
p79sw,CP_79,"c(18.4529256323333, -34.306355775)"
p82sw,CP_82,"c(18.4235298376667, -34.314318078)"
p83sw,CP_83,"c(18.433476755, -34.3146262978333)"
p88sw,CP_88,"c(18.4429493773333, -34.3226925035)"
p92sw,CP_92,"c(18.4432728478333, -34.33088319)"
